title,author,publisher,isbn,year,pages
Encyclopedia of Social Network Analysis and Mining,,Springer,978-1-4614-6169-2::978-1-4614-6170-8,2014,
"Encyclopedia of Social Network Analysis and Mining, 2nd Edition",,Springer,,2018,
Handbook of Signal Processing Systems,,Springer,978-1-4614-6858-5::978-1-4614-6859-2,2013,
Encyclopedia of Artificial Intelligence (3 Volumes),,IGI Global,9781599048499,2009,
"Handbook of Discrete and Computational Geometry, Second Edition.",,Chapman and Hall/CRC,978-1-58488-301-2::978-1-4200-3531-5,2004,
Encyclopedia of Information Assurance,,Taylor & Francis,1-4200-6620-X::1-4200-6622-6,2011,
Encyclopedia of Wireless and Mobile Communications,,Taylor & Francis,1-4200-4326-9::1-4200-5562-3,2008,
"Handbook of Ambient Assisted Living - Technology for Healthcare, Rehabilitation and Well-being",,IOS Press,978-1-60750-836-6,2012,
Handbook of Research on Ubiquitous Computing Technology for Real Time Enterprises,,IGI Global,9781599048321,2008,
Encyclopedia of Database Systems,,Springer US,978-0-387-35544-3::978-0-387-39940-9,2009,
"Encyclopedia of Database Systems, Second Edition",,Springer,978-1-4614-8266-6::978-1-4614-8265-9,2018,
Encyclopedia of Algorithms - 2016 Edition,,Springer,978-1-4939-2863-7::978-1-4939-2864-4,2016,
Taschenbuch der Algorithmen,,Springer,978-3-540-76393-2,2008,
Encyclopedia of Algorithms - 2008 Edition,,Springer,978-0-387-30770-1::978-0-387-30162-4,2008,
Handbook of Document Image Processing and Recognition,,Springer,978-0-85729-858-4,2014,
"Encyclopedia of Knowledge Management, Second Edition",,IGI Global,9781599049311,2011,
Encyclopedia of Portal Technologies and Applications (2 Volumes),,IGI Global,9781591409892,2007,
Network Performance Engineering - A Handbook on Convergent Multi-Service Networks and Next Generation Internet,,Springer,978-3-642-02741-3,2011,
"Handbuch Industrie 4.0 Bd.1, Produktion.",,Springer,978-3-662-45278-3::978-3-662-45279-0,2017,
"Handbuch Industrie 4.0 Bd.4, Allgemeine Grundlagen.",,Springer,978-3-662-53253-9::978-3-662-53254-6,2017,
"Handbuch Industrie 4.0 Bd.2, Automatisierung.",,Springer,978-3-662-53247-8::978-3-662-53248-5,2017,
"Handbuch Industrie 4.0 Bd.3, Logistik.",,Springer,978-3-662-53250-8::978-3-662-53251-5,2017,
Encyclopedia of Complexity and Systems Science,,Springer,978-0-387-75888-6,2009,
Handbook of Science and Technology Convergence,,Springer,978-3-319-07051-3::978-3-319-07052-0,2016,
Wiley Encyclopedia of Computer Science and Engineering,,"John Wiley & Sons, Inc.",,2008,
Modeling and Simulation-Based Systems Engineering Handbook.,,CRC Press,978-1-4665-7145-7::978-1-4665-7146-4,2014,
Encyclopedia of Biometrics,,Springer US,978-0-387-73002-8::978-0-387-73003-5,2009,
"Encyclopedia of Biometrics, Second Edition",,Springer US,978-1-4899-7487-7::978-1-4899-7488-4,2015,
Encyclopedia of Multimedia,,Springer,978-0-387-24395-5,2006,
"Encyclopedia of Multimedia, 2nd Ed.",,Springer,978-0-387-74724-8::978-0-387-78414-4,2008,
"Encyclopedia of Optimization, Second Edition",,Springer,978-0-387-74758-3,2009,
"Data Mining and Knowledge Discovery Handbook, 2nd ed.",,Springer,978-0-387-09822-7,2010,
Encyclopedia of Software Engineering,,Taylor & Francis,978-1-4200-5977-9,2010,
The VLSI Handbook.,,CRC Press,978-0-8493-8593-3::978-1-4200-4967-1,1999,
"Computer Vision, A Reference Guide",,Springer,978-0-387-30771-8::978-0-387-31439-6,2014,
Handbook of Hardware/Software Codesign.,,Springer,978-94-017-7266-2::978-94-017-7267-9,2017,
Encyclopedia of Machine Learning,,Springer,978-0-387-30768-8,2010,
Encyclopedia of Machine Learning and Data Mining,,Springer,978-1-4899-7685-7::978-1-4899-7687-1,2017,
Encyclopedia of GIS.,,Springer,978-3-319-17884-4::978-3-319-17885-1,2017,
Encyclopedia of Remote Sensing,,Springer,978-0-387-36698-2::978-0-387-36699-9,2014,
Encyclopedia of GIS.,,Springer,978-0-387-30858-6,2008,
Handbook of Heuristics.,,Springer,978-3-319-07123-7::978-3-319-07124-4,2018,
